date,avg_temperature,precipitation,snow(mm)
14.09.2019,12.2,0.0,0.0
15.09.2019,15.6,0.2,0.0
16.09.2019,13.6,0.3,0.0
17.09.2019,11.7,1.8,0.0
18.09.2019,11.3,0.0,0.0
19.09.2019,10.3,0.0,0.0
20.09.2019,10.9,0.0,0.0
21.09.2019,12.5,0.0,0.0
22.09.2019,14.8,0.0,0.0
23.09.2019,15.4,0.0,0.0
24.09.2019,14.6,0.0,0.0
25.09.2019,14.1,1.7,0.0
26.09.2019,14.3,0.1,0.0
27.09.2019,14.5,12.5,0.0
28.09.2019,13.7,9.0,0.0
29.09.2019,14.0,8.0,0.0
30.09.2019,14.1,3.8,0.0
01.10.2019,13.5,14.5,0.0
02.10.2019,9.8,1.9,0.0
03.10.2019,9.0,0.6,0.0
04.10.2019,8.3,14.3,0.0
05.10.2019,8.4,0.1,0.0
06.10.2019,5.9,0.0,0.0
07.10.2019,5.0,0.0,0.0
08.10.2019,9.6,2.4,0.0
09.10.2019,12.0,2.7,0.0
10.10.2019,10.9,1.0,0.0
11.10.2019,12.7,1.1,0.0
12.10.2019,15.8,0.0,0.0
13.10.2019,18.3,0.0,0.0
14.10.2019,17.7,0.0,0.0
15.10.2019,15.0,0.0,0.0
16.10.2019,11.4,6.3,0.0
17.10.2019,14.0,0.6,0.0
18.10.2019,14.2,5.9,0.0
19.10.2019,11.6,0.0,0.0
20.10.2019,14.1,0.0,0.0
21.10.2019,13.6,0.0,0.0
22.10.2019,12.3,0.0,0.0
23.10.2019,11.6,0.1,0.0
24.10.2019,13.3,0.0,0.0
25.10.2019,13.3,0.0,0.0
26.10.2019,13.8,0.0,0.0
27.10.2019,11.4,0.6,0.0
28.10.2019,7.9,2.4,0.0
29.10.2019,4.6,0.0,0.0
30.10.2019,2.3,0.0,0.0
31.10.2019,0.9,0.0,0.0
01.11.2019,2.5,1.2,0.0
02.11.2019,11.0,0.4,0.0
03.11.2019,10.5,4.7,0.0
04.11.2019,9.9,5.1,0.0
05.11.2019,9.0,0.8,0.0
06.11.2019,7.9,1.6,0.0
07.11.2019,7.9,0.0,0.0
08.11.2019,7.0,1.6,0.0
09.11.2019,6.5,0.5,0.0
10.11.2019,4.4,0.0,0.0
11.11.2019,2.4,0.0,0.0
12.11.2019,4.0,0.0,0.0
13.11.2019,4.4,0.0,0.0
14.11.2019,4.9,0.0,0.0
15.11.2019,7.0,0.9,0.0
16.11.2019,5.6,1.1,0.0
17.11.2019,3.8,1.5,0.0
18.11.2019,7.5,0.8,0.0
19.11.2019,6.0,6.6,0.0
20.11.2019,5.2,0.0,0.0
21.11.2019,7.9,3.5,0.0
22.11.2019,8.2,0.0,0.0
23.11.2019,5.9,0.0,0.0
24.11.2019,4.3,0.0,0.0
25.11.2019,4.3,0.0,0.0
26.11.2019,6.1,0.0,0.0
27.11.2019,6.1,3.0,0.0
28.11.2019,9.8,1.5,0.0
29.11.2019,5.2,0.0,0.0
30.11.2019,1.3,0.0,0.0
01.12.2019,2.2,0.0,0.0
02.12.2019,2.9,1.0,0.0
03.12.2019,2.3,0.1,0.0
04.12.2019,3.4,0.0,0.0
05.12.2019,0.4,0.0,0.0
06.12.2019,2.0,6.4,0.0
07.12.2019,7.8,0.7,0.0
08.12.2019,9.0,0.2,0.0
09.12.2019,7.1,1.9,0.0
10.12.2019,2.9,0.0,0.0
11.12.2019,2.7,1.0,0.0
12.12.2019,1.9,0.0,0.0
13.12.2019,1.1,0.5,0.0
14.12.2019,3.4,5.1,0.0
15.12.2019,5.5,1.6,0.0
16.12.2019,5.5,0.1,0.0
17.12.2019,7.7,0.1,0.0
18.12.2019,7.4,0.0,0.0
19.12.2019,4.2,0.0,0.0
20.12.2019,5.9,4.0,0.0
21.12.2019,6.1,0.0,0.0
22.12.2019,2.4,0.2,0.0
23.12.2019,6.5,1.4,0.0
24.12.2019,6.0,2.4,0.0
25.12.2019,5.3,0.7,0.0
26.12.2019,4.6,1.4,0.0
27.12.2019,3.0,0.1,0.0
28.12.2019,1.0,0.0,0.0
29.12.2019,-0.6,0.0,0.0
30.12.2019,4.0,0.0,0.0
31.12.2019,5.8,0.0,0.0
01.01.2020,1.8,0.0,0.0
02.01.2020,-0.3,0.0,0.0
03.01.2020,4.3,4.4,0.0
04.01.2020,4.1,3.0,0.0
05.01.2020,1.4,0.0,0.0
06.01.2020,4.7,0.0,0.0
07.01.2020,2.3,0.2,0.0
08.01.2020,6.2,1.9,0.0
09.01.2020,8.1,5.3,0.0
10.01.2020,9.1,1.7,0.0
11.01.2020,4.5,0.0,0.0
12.01.2020,3.4,0.0,0.0
13.01.2020,5.3,0.0,0.0
14.01.2020,7.0,0.0,0.0
15.01.2020,10.1,0.0,0.0
16.01.2020,6.0,0.0,0.0
